filename	topic	identifier
corpus\aafj001.txt	0	aafj001
corpus\aage001.txt	0	aage001
corpus\aaks001.txt	-1	aaks001
corpus\aalb006.txt	5	aalb006
corpus\aals003.txt	1	aals003
corpus\aals004.txt	1	aals004
corpus\aard002.txt	0	aard002
corpus\aart003.txt	-1	aart003
corpus\aart004.txt	3	aart004
corpus\abel021.txt	-1	abel021
corpus\abel026.txt	0	abel026
corpus\aben001.txt	-1	aben001
corpus\aben009.txt	-1	aben009
corpus\abic001.txt	2	abic001
corpus\abra001.txt	-1	abra001
corpus\abra009.txt	-1	abra009
corpus\absi003.txt	-1	absi003
corpus\achi002.txt	0	achi002
corpus\acht003.txt	0	acht003
corpus\acht007.txt	-1	acht007
corpus\acht016.txt	0	acht016
corpus\acke006.txt	-1	acke006
corpus\acke008.txt	-1	acke008
corpus\acke023.txt	2	acke023
corpus\acke026.txt	-1	acke026
corpus\adam005.txt	0	adam005
corpus\adam021.txt	9	adam021
corpus\adan001.txt	-1	adan001
corpus\adel001.txt	3	adel001
corpus\ade_001.txt	0	ade_001
corpus\adin001.txt	4	adin001
corpus\admi001.txt	5	admi001
corpus\admi003.txt	0	admi003
corpus\adri003.txt	-1	adri003
corpus\adri011.txt	0	adri011
corpus\adri021.txt	21	adri021
corpus\adri068.txt	0	adri068
corpus\aers001.txt	0	aers001
corpus\aert010.txt	-1	aert010
corpus\aert033.txt	0	aert033
corpus\aert036.txt	-1	aert036
corpus\aill004.txt	-1	aill004
corpus\aken004.txt	0	aken004
corpus\aken008.txt	2	aken008
corpus\aker001.txt	0	aker001
corpus\akke002.txt	32	akke002
corpus\akke006.txt	0	akke006
corpus\albe001.txt	0	albe001
corpus\albe003.txt	0	albe003
corpus\albe004.txt	-1	albe004
corpus\albe005.txt	0	albe005
corpus\albe006.txt	0	albe006
corpus\albe009.txt	0	albe009
corpus\albe022.txt	-1	albe022
corpus\albe024.txt	6	albe024
corpus\albe025.txt	0	albe025
corpus\albe056.txt	-1	albe056
corpus\alde015.txt	2	alde015
corpus\aler001.txt	-1	aler001
corpus\alet003.txt	-1	alet003
corpus\alex009.txt	20	alex009
corpus\ali_001.txt	0	ali_001
corpus\ali_002.txt	-1	ali_002
corpus\alla003.txt	0	alla003
corpus\alla024.txt	-1	alla024
corpus\alle003.txt	17	alle003
corpus\alof004.txt	4	alof004
corpus\alon004.txt	1	alon004
corpus\alph001.txt	-1	alph001
corpus\alph002.txt	0	alph002
corpus\alph004.txt	0	alph004
corpus\alph012.txt	4	alph012
corpus\alst001.txt	0	alst001
corpus\alte001.txt	20	alte001
corpus\alti003.txt	2	alti003
corpus\alti026.txt	12	alti026
corpus\alum001.txt	0	alum001
corpus\al__001.txt	34	al__001
corpus\amei001.txt	0	amei001
corpus\amer008.txt	1	amer008
corpus\amer025.txt	-1	amer025
corpus\amme001.txt	-1	amme001
corpus\amor002.txt	-1	amor002
corpus\amor003.txt	-1	amor003
corpus\amor004.txt	-1	amor004
corpus\ampe001.txt	-1	ampe001
corpus\amst005.txt	0	amst005
corpus\amst055.txt	0	amst055
corpus\amte001.txt	0	amte001
corpus\anbe001.txt	-1	anbe001
corpus\ance001.txt	3	ance001
corpus\anco001.txt	0	anco001
corpus\ande003.txt	0	ande003
corpus\ande021.txt	12	ande021
corpus\ando001.txt	2	ando001
corpus\andr007.txt	0	andr007
corpus\andr011.txt	0	andr011
corpus\andr022.txt	11	andr022
corpus\andr028.txt	-1	andr028
corpus\andr029.txt	2	andr029
corpus\andr030.txt	-1	andr030
corpus\andr036.txt	26	andr036
corpus\andr037.txt	3	andr037
corpus\andr135.txt	6	andr135
corpus\ange002.txt	2	ange002
corpus\angr001.txt	7	angr001
corpus\anib001.txt	-1	anib001
corpus\anns001.txt	0	anns001
corpus\anst001.txt	52	anst001
corpus\ante001.txt	2	ante001
corpus\anto003.txt	-1	anto003
corpus\anto004.txt	-1	anto004
corpus\anto005.txt	37	anto005
corpus\anwa001.txt	2	anwa001
corpus\apel003.txt	7	apel003
corpus\apol001.txt	0	apol001
corpus\apos005.txt	-1	apos005
corpus\appe002.txt	2	appe002
corpus\araq001.txt	10	araq001
corpus\arca003.txt	-1	arca003
corpus\aren008.txt	2	aren008
corpus\aren011.txt	-1	aren011
corpus\aren012.txt	3	aren012
corpus\aren014.txt	14	aren014
corpus\aren016.txt	17	aren016
corpus\aren034.txt	-1	aren034
corpus\arie002.txt	-1	arie002
corpus\ario001.txt	50	ario001
corpus\aris003.txt	-1	aris003
corpus\arke020.txt	-1	arke020
corpus\arma001.txt	0	arma001
corpus\armi003.txt	0	armi003
corpus\arne001.txt	-1	arne001
corpus\arnh002.txt	42	arnh002
corpus\arno005.txt	-1	arno005
corpus\arnt008.txt	-1	arnt008
corpus\aron002.txt	0	aron002
corpus\arpo002.txt	0	arpo002
corpus\arra001.txt	0	arra001
corpus\arre005.txt	0	arre005
corpus\arri002.txt	1	arri002
corpus\arts004.txt	0	arts004
corpus\arts005.txt	6	arts005
corpus\artu001.txt	0	artu001
corpus\ashe001.txt	0	ashe001
corpus\aspe012.txt	-1	aspe012
corpus\aspe013.txt	-1	aspe013
corpus\assc001.txt	0	assc001
corpus\assc003.txt	1	assc003
corpus\assc004.txt	0	assc004
corpus\assc006.txt	-1	assc006
corpus\assc014.txt	6	assc014
corpus\asse012.txt	-1	asse012
corpus\asse013.txt	2	asse013
corpus\asse018.txt	-1	asse018
