filename	topic	textID
corpus_final_ids\DIE_1900_1.txt	-1	DIE_1900_1
corpus_final_ids\DIE_1900_10.txt	0	DIE_1900_10
corpus_final_ids\DIE_1900_100.txt	0	DIE_1900_100
corpus_final_ids\DIE_1900_101.txt	-1	DIE_1900_101
corpus_final_ids\DIE_1900_102.txt	-1	DIE_1900_102
corpus_final_ids\DIE_1900_103.txt	-1	DIE_1900_103
corpus_final_ids\DIE_1900_104.txt	0	DIE_1900_104
corpus_final_ids\DIE_1900_105.txt	0	DIE_1900_105
corpus_final_ids\DIE_1900_106.txt	0	DIE_1900_106
corpus_final_ids\DIE_1900_107.txt	0	DIE_1900_107
corpus_final_ids\DIE_1900_108.txt	-1	DIE_1900_108
corpus_final_ids\DIE_1900_109.txt	254	DIE_1900_109
corpus_final_ids\DIE_1900_11.txt	244	DIE_1900_11
corpus_final_ids\DIE_1900_110.txt	76	DIE_1900_110
corpus_final_ids\DIE_1900_111.txt	-1	DIE_1900_111
corpus_final_ids\DIE_1900_112.txt	-1	DIE_1900_112
corpus_final_ids\DIE_1900_113.txt	0	DIE_1900_113
corpus_final_ids\DIE_1900_114.txt	-1	DIE_1900_114
corpus_final_ids\DIE_1900_115.txt	0	DIE_1900_115
corpus_final_ids\DIE_1900_116.txt	0	DIE_1900_116
corpus_final_ids\DIE_1900_117.txt	0	DIE_1900_117
corpus_final_ids\DIE_1900_118.txt	1	DIE_1900_118
corpus_final_ids\DIE_1900_119.txt	-1	DIE_1900_119
corpus_final_ids\DIE_1900_12.txt	-1	DIE_1900_12
corpus_final_ids\DIE_1900_120.txt	160	DIE_1900_120
corpus_final_ids\DIE_1900_121.txt	0	DIE_1900_121
corpus_final_ids\DIE_1900_122.txt	-1	DIE_1900_122
corpus_final_ids\DIE_1900_123.txt	20	DIE_1900_123
corpus_final_ids\DIE_1900_124.txt	-1	DIE_1900_124
corpus_final_ids\DIE_1900_125.txt	-1	DIE_1900_125
corpus_final_ids\DIE_1900_126.txt	0	DIE_1900_126
corpus_final_ids\DIE_1900_127.txt	0	DIE_1900_127
corpus_final_ids\DIE_1900_128.txt	-1	DIE_1900_128
corpus_final_ids\DIE_1900_129.txt	-1	DIE_1900_129
corpus_final_ids\DIE_1900_13.txt	-1	DIE_1900_13
corpus_final_ids\DIE_1900_130.txt	1	DIE_1900_130
corpus_final_ids\DIE_1900_131.txt	69	DIE_1900_131
corpus_final_ids\DIE_1900_132.txt	-1	DIE_1900_132
corpus_final_ids\DIE_1900_14.txt	244	DIE_1900_14
corpus_final_ids\DIE_1900_15.txt	-1	DIE_1900_15
corpus_final_ids\DIE_1900_16.txt	123	DIE_1900_16
corpus_final_ids\DIE_1900_17.txt	25	DIE_1900_17
corpus_final_ids\DIE_1900_18.txt	1	DIE_1900_18
corpus_final_ids\DIE_1900_19.txt	25	DIE_1900_19
corpus_final_ids\DIE_1900_2.txt	1	DIE_1900_2
corpus_final_ids\DIE_1900_20.txt	25	DIE_1900_20
corpus_final_ids\DIE_1900_21.txt	25	DIE_1900_21
corpus_final_ids\DIE_1900_22.txt	0	DIE_1900_22
corpus_final_ids\DIE_1900_23.txt	25	DIE_1900_23
corpus_final_ids\DIE_1900_24.txt	25	DIE_1900_24
corpus_final_ids\DIE_1900_25.txt	0	DIE_1900_25
corpus_final_ids\DIE_1900_26.txt	25	DIE_1900_26
corpus_final_ids\DIE_1900_27.txt	0	DIE_1900_27
corpus_final_ids\DIE_1900_28.txt	-1	DIE_1900_28
corpus_final_ids\DIE_1900_29.txt	10	DIE_1900_29
corpus_final_ids\DIE_1900_3.txt	-1	DIE_1900_3
corpus_final_ids\DIE_1900_30.txt	69	DIE_1900_30
corpus_final_ids\DIE_1900_31.txt	257	DIE_1900_31
