Author	Link	identifier	givenName	familyName	alternateNames	birthDate	birthPlace	birthCountry	deathDate	deathPlace	deathCountry	gender	occupation	period	language	category	organisation	occupationHisclass	Hisclass	lowestHisclass
Jan Engelman	https://www.dbnl.org/auteurs/auteur.php?id=enge016	enge016	Johannes Aloysius Antonius	Engelman	Jan Engelman	1900-06-07	Utrecht	Nederland	1972-03-20	Amsterdam	Nederland	male	redacteur/journalist/vertaler	Twintigste Eeuw	nl	secundair/nonfictie		redacteur/vertaler/journalist	2.0/4.0/2.0	2.0
Willem Maas	https://www.dbnl.org/auteurs/auteur.php?id=maas024	maas024	Willem Arnoldus	Maas	Willem Maas	1897-04-28	Utrecht	Nederland	1950-05-06	Utrecht	Nederland	male	illustrator/tekenaar/beeldend kunstenaar	Twintigste Eeuw				tekenaar/illustrateur/beeldhouwer	4.0/4.0/4.0	4.0
Joep Nicolas	https://www.dbnl.org/auteurs/auteur.php?id=nico008	nico008	Josephus Antonius Hubertus Franciscus	Nicolas	Joep Nicolas	1897-10-06	Roermond	Nederland	1972-07-25	Steyl	Nederland	male	schilder/ambachtsman	Twintigste Eeuw		nonfictie		ambachtsman/schilder	7.0/9.0	7.0
Albert Helman	https://www.dbnl.org/auteurs/auteur.php?id=helm003	helm003	Albert	Helman	Albert Helman/Beckmesser/Brandaris/Floris Kapteyn/Friedrich Nietzsche/Hella Bentram-Matriotte/Hypertonides/J.B. Tenoten/Jo Jaspers/Joost van den Vondel/Lodewijk Alphonsus Maria Lichtveld/Lou Lichtveld/Louis Lightfield/N. Slob/Rolf Keuler	1903-11-07	Paramaribo	Suriname	1996-07-10	Amsterdam	Nederland	male	musicus/journalist/politicus/redacteur/staatsman/jongleur/minstreel/bestuurder	Twintigste Eeuw	nl	jeugdliteratuur/nonfictie/suriname/buitenland		bestuurder/redacteur/speelman/ambtman/journalist/acrobaat/musicus	1.0/2.0/4.0/1.0/2.0/7.0/4.0	1.0
Willem Nieuwenhuis	https://www.dbnl.org/auteurs/auteur.php?id=nieu047	nieu047	Willem	Nieuwenhuis	Willem Nieuwenhuis	1886-xx-xx			1935-xx-xx			male		Twintigste Eeuw	nl					
Karel van den Oever	https://www.dbnl.org/auteurs/auteur.php?id=oeve003	oeve003	Karel	van den Oever	Karel van den Oever	1879-11-19	Antwerpen	België (Vlaanderen)	1926-10-06	Antwerpen	België (Vlaanderen)	male	arbeider/werkman	Twintigste Eeuw	nl	secundair/jeugdliteratuur		werkman/arbeider	13.0/13.0	13.0
Wies Moens	https://www.dbnl.org/auteurs/auteur.php?id=moen007	moen007	Aloys Caesar Antoon	Moens	Wies Moens	1898-01-28	Sint-Gillis-Bij-Dendermonde	België (Vlaanderen)	1982-02-05	Geleen	Nederland	male		Twintigste Eeuw	nl	secundair				
Eduard A. Serrarens	https://www.dbnl.org/auteurs/auteur.php?id=serr010	serr010	Eduard A.	Serrarens	Eduard A. Serrarens	1895-12-27	Maastricht	Nederland	1955-11-25	Roermond	Nederland	male	leraar/docent/hoogleraar	Twintigste Eeuw	nl	secundair		hoogleraar/leraar/docent	2.0/2.0/2.0	2.0
Henk Kuitenbrouwer	https://www.dbnl.org/auteurs/auteur.php?id=kuit001	kuit001	Carel Hendrik Gerhardus Maria	Kuitenbrouwer	Henk Kuitenbrouwer	1903-11-20	Utrecht	Nederland	1974-08-03	Utrecht	Nederland	male	onderwijzer (basisschool)/redacteur/journalist	Twintigste Eeuw		jeugdliteratuur		onderwijzer op een lagere school/redacteur/journalist	4.0/2.0/2.0	2.0
Jan Bruna	https://www.dbnl.org/auteurs/auteur.php?id=brun020	brun020	Jan	Bruna	Jan Bruna	1876-08-17			1931-03-11			male	redacteur/journalist	Twintigste Eeuw	nl	secundair		redacteur/journalist	2.0/2.0	2.0
